attorney_name,Count,cases,Status
"PELL, ROBERT ALLAN",1194,,complete
"PETERS, ALVIN LEE",11,,
"PHILLIPS, DAVID RYAN",1,,
"PIAZZA, KRISTEN EMILY-LYNN",315,,complete
"PIEPER, NICHOLE RENE",480,,complete
"POLOM, MICHELLE",1,,
"POWELL, DIXIE DAN",1,,
"PRICE, WILLIAM B",1,,
"PRINCE, NATHAN R",1,,
PRO SE,5,,
"RAMEY, RUSSELL KEVIN",11,,
"RASH, KYLE J",5,,
"RATLIFF, CALEB HENRY",1,,
"REED, KIMBERLY D",1,,
"REED, NICOLE DANIELLE",45,,complete
"REIDER, DAVID L",1,,
"RITCHIE, WILLIAM JOSEPH WEST",1,,
"ROBERSON, KELLY MCINTOSH",23,,
"ROBERTS, JOHN YOUNG",1,,
"RODRIGUEZ, CHRISTOPHER",2,,
"ROGERS, CLARK T",2,,
"SAINT-JEAN, EMMANUELA",2,,
"SALE, ROBERT DOUGLAS",43,,complete
"SAMUELS, NATAUSHA",3,,
"SANDERS, RUSTON RYAN",2,,
"SARKISYAN, MARIANNA R",1,,
"SAULINE, ALBERT J III",12,,x
"SCHERR, HAROLD E",1,,
"SCHULTZ, MATT DAVID",1,,
"SCOTT, CHRISTOPHER LEE",2,,x
"SCOTT, LEE MCARTHUR",243,,complete
"SEATON, RACHEL",8,,
"SELF, J CHAD",1,,
"SHEPARD, RUDOLPH C JR",18,,
"SHOUPPE, KIM",2,,
"SIMS, HENRY MARK",10,,
"SMALLWOOD MIRANDA, CHRISTINE D",1,,
"SMALLWOOD, ALETTA MICHELE LUCAS",8,,
"SMITH, COREY J",2,,
"SMITH, DOUGLAS LATTA",1,,
"SMITH, PARKER BENTLEY",1,,
"SOMBATHY, ROBERT SCOTT",2,,
"SOUTHALL, DIANNE C",1,,
"SOUTHALL, DIANNE CORBIN",4,,
"STAMMAN, PHILLIP",42,,
"STEPHENSON, DUSTIN S",2,,
"STEWART, CHELSEA RENEE",931,,complete
"STEWART, RUSSELL ROBERT",2,,
"STONE, MICHEL LEON",1,,
"STORFER, RICHARD BERNARD",1,,
"STREEKMANN, CORINA",1,,
"STUDSTILL, CLAYTON BOWERS",1,,
"SULLIVAN, CHRISTIAN",13,,
"SULLIVAN, FRANCIS VICTOR",7,,
"SULLIVAN, FRANK",2,,
"SWIATEK, GLENN MATTHEW",1,,
"SYFRETT, STEPHEN ELLIS",1,,
"SYKES, ALEXIS",1,,
"TABBAA, KARIM GALEB",69,,
"TAYLOR, ASHLEY NICOLE",282,,
"TAYLOR, ZACHARY BRENT",1,,
"TERZIAN, DEBORAH A",4,,
TESTATTY,1,,
"THIEL, ERIC",1,,
"THOMPSON, ROBERT WAYLON",2,,
"TRUCKS, J KARL",10,,
"TURNER, JOE",1,,
"TURNER, JOSEPH E",2,,
"VANDYKE, ZACHARY",4,,
"VIRGA, GERARD M",3,,
"WACZEWSKI, FREDERIC E",1,,
"WALTERS, CHRISTOPHER",28,,
"WARWICK, BRIAN W",1,,
"WAY, ETHAN ANDREW",1,,
"WEBSTER, STEPHEN G",2,,
"WERDINE, FRED",2,,
"WHITE, JAMES HERSCHEL JR",15,,
"WILLIAMS, CHARLES H",1,,
"WILLIAMS, JACK GREGG",1,,
"WILSON, RUSSELL SCOTT",2,,
"WINTERS, KEVIN MATTHEW",5,,
"WOODSIDE, JASON B",1,,
"WYNN, MICHAEL A",9,,
"YARBROUGH, ALYSSA MARIE",6,,
"YELEN, HOWARD Y YELEN",1,,
"ZIMMERMAN, NEVIN JAY",2,,
"Quintana, Edmund D",,x,
"Knittle, Steven D",,x,
